lot_number,VAX_MANU,reports,serious_reports,deaths,total_doses_shipped,reports_per_million,serious_per_million,deaths_per_million,source_rows,source_files,source_sheets
EWO179,PFIZER\BIONTECH,103,6.0,1.0,18240.0,5646.93,328.95,54.82,57,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EK9321,PFIZER\BIONTECH,25,4.0,0.0,12407.0,2014.99,322.4,0.0,47,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO153,PFIZER\BIONTECH,51,5.0,0.0,15902.0,3207.14,314.43,0.0,40,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO185,PFIZER\BIONTECH,39,8.0,0.0,25530.0,1527.61,313.36,0.0,54,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO187,PFIZER\BIONTECH,67,9.0,0.0,29933.0,2238.33,300.67,0.0,61,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO161,PFIZER\BIONTECH,31,3.0,1.0,10335.0,2999.52,290.28,96.76,49,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO178,PFIZER\BIONTECH,31,5.0,1.0,18083.0,1714.32,276.5,55.3,57,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO168,PFIZER\BIONTECH,39,4.0,0.0,14716.0,2650.18,271.81,0.0,50,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EWO173,PFIZER\BIONTECH,65,6.0,0.0,22111.0,2939.71,271.36,0.0,51,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EW1077,PFIZER\BIONTECH,17,4.0,1.0,14842.0,1145.4,269.51,67.38,55,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EL9621,PFIZER\BIONTECH,10,3.0,0.0,11706.0,854.26,256.28,0.0,46,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
