lot_number,VAX_MANU,reports,serious_reports,deaths,total_doses_shipped,reports_per_million,serious_per_million,deaths_per_million,source_rows,source_files,source_sheets
EW0127,PFIZER\BIONTECH,17,3.0,0.0,43431.0,391.43,69.08,0.0,57,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EN5318,PFIZER\BIONTECH,3615,964.0,274.0,14089448.0,256.57,68.42,19.45,4294,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
330268D,PFIZER\BIONTECH,403,40.0,3.0,588458.0,684.84,67.97,5.1,134,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EN6198,PFIZER\BIONTECH,3260,951.0,245.0,14075594.0,231.61,67.56,17.41,3776,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
320308D,PFIZER\BIONTECH,561,117.0,7.0,1771628.0,316.66,66.04,3.95,216,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EH9899,PFIZER\BIONTECH,4004,327.0,44.0,4979975.0,804.02,65.66,8.84,1173,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EL9266,PFIZER\BIONTECH,1578,443.0,117.0,6834293.0,230.89,64.82,17.12,1886,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EL3247,PFIZER\BIONTECH,3282,403.0,78.0,6393261.0,513.35,63.04,12.2,2133,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EL8982,PFIZER\BIONTECH,2435,445.0,109.0,7139895.0,341.04,62.33,15.27,2762,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EL9264,PFIZER\BIONTECH,1969,449.0,107.0,7380921.0,266.77,60.83,14.5,2220,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
ER2613,PFIZER\BIONTECH,4171,926.0,112.0,15392071.0,270.98,60.16,7.28,2684,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
GJ6739,PFIZER\BIONTECH,1048,87.0,6.0,1454212.0,720.67,59.83,4.13,3666,2023-00157-A-PHS-New-data-set.xlsx,#3 Data; Part2
EW0189,PFIZER\BIONTECH,21,1.0,0.0,16842.0,1246.88,59.38,0.0,62,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EN6207,PFIZER\BIONTECH,3518,1054.0,171.0,17895081.0,196.59,58.9,9.56,4067,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EL9263,PFIZER\BIONTECH,911,206.0,34.0,3498292.0,260.41,58.89,9.72,813,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FL4211,PFIZER\BIONTECH,18,4.0,0.0,68479.0,262.85,58.41,0.0,552,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EL3246,PFIZER\BIONTECH,2549,335.0,66.0,5747557.0,443.49,58.29,11.48,2000,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EL9262,PFIZER\BIONTECH,2464,433.0,64.0,7561130.0,325.88,57.27,8.46,1392,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EN6203,PFIZER\BIONTECH,2858,702.0,126.0,12633552.0,226.22,55.57,9.97,3707,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
330308D,PFIZER\BIONTECH,442,90.0,7.0,1668946.0,264.84,53.93,4.19,194,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
GJ5342,PFIZER\BIONTECH,1204,260.0,20.0,4821267.0,249.73,53.93,4.15,7661,2023-00157-A-PHS-New-data-set.xlsx,#3 Data; Part2
FA8448,PFIZER\BIONTECH,5,1.0,0.0,18633.0,268.34,53.67,0.0,50,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EN6204,PFIZER\BIONTECH,2863,722.0,133.0,13490054.0,212.23,53.52,9.86,5054,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EN6199,PFIZER\BIONTECH,2862,765.0,138.0,14397579.0,198.78,53.13,9.58,3414,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FC3592,PFIZER\BIONTECH,14,1.0,0.0,18915.0,740.15,52.87,0.0,52,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EM9809,PFIZER\BIONTECH,1530,350.0,55.0,6719977.0,227.68,52.08,8.18,1756,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FL007,PFIZER\BIONTECH,72,4.0,1.0,76894.0,936.35,52.02,13.0,159,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
301308,PFIZER\BIONTECH,7,1.0,0.0,19492.0,359.12,51.3,0.0,103,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
GJ6665,PFIZER\BIONTECH,1533,146.0,17.0,2861873.0,535.66,51.02,5.94,6301,2023-00157-A-PHS-New-data-set.xlsx,#3 Data; Part2
EN6205,PFIZER\BIONTECH,3567,914.0,154.0,18010207.0,198.05,50.75,8.55,3355,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FD0810,PFIZER\BIONTECH,910,116.0,8.0,2293529.0,396.77,50.58,3.49,2551,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FF8020,PFIZER\BIONTECH,4,1.0,0.0,19978.0,200.22,50.06,0.0,54,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
FEP7533,PFIZER\BIONTECH,7,1.0,0.0,20013.0,349.77,49.97,0.0,10,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
330368D,PFIZER\BIONTECH,304,32.0,2.0,644810.0,471.46,49.63,3.1,202,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
ER7533,PFIZER\BIONTECH,26,1.0,1.0,20410.0,1273.89,49.0,49.0,50,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
ER8732,PFIZER\BIONTECH,3501,843.0,100.0,17640635.0,198.46,47.79,5.67,3410,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FK5168,PFIZER\BIONTECH,13,1.0,0.0,20967.0,620.02,47.69,0.0,87,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
FC2588,PFIZER\BIONTECH,10,1.0,0.0,21602.0,462.92,46.29,0.0,50,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
331308A,PFIZER\BIONTECH,349,73.0,7.0,1595443.0,218.75,45.76,4.39,216,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
FD4884,PFIZER\BIONTECH,8,1.0,0.0,21879.0,365.65,45.71,0.0,52,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EN6208,PFIZER\BIONTECH,3364,802.0,132.0,17579466.0,191.36,45.62,7.51,3775,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EN6206,PFIZER\BIONTECH,2955,728.0,84.0,16035725.0,184.28,45.4,5.24,3529,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW0150,PFIZER\BIONTECH,3184,857.0,73.0,19220566.0,165.66,44.59,3.8,3492,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
ER8727,PFIZER\BIONTECH,3019,690.0,122.0,16033160.0,188.3,43.04,7.61,4059,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW0172,PFIZER\BIONTECH,2722,684.0,53.0,16828400.0,161.75,40.65,3.15,4603,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EP6955,PFIZER\BIONTECH,3222,658.0,103.0,16200050.0,198.89,40.62,6.36,5053,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EP7534,PFIZER\BIONTECH,2754,638.0,91.0,15838558.0,173.88,40.28,5.75,4258,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
GH9697,PFIZER\BIONTECH,400,82.0,3.0,2073667.0,192.9,39.54,1.45,3933,2023-00157-A-PHS-New-data-set.xlsx,#3 Data; Part2
ER8737,PFIZER\BIONTECH,2678,609.0,124.0,15641419.0,171.21,38.94,7.93,3929,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
3230BD,PFIZER\BIONTECH,10,1.0,0.0,25905.0,386.03,38.6,0.0,57,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
GH9703,PFIZER\BIONTECH,1081,186.0,20.0,4843107.0,223.2,38.41,4.13,8937,2023-00157-A-PHS-New-data-set.xlsx,#3 Data; Part2
EP7533,PFIZER\BIONTECH,2555,558.0,84.0,14572152.0,175.33,38.29,5.76,5428,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
ER8733,PFIZER\BIONTECH,3356,675.0,79.0,17887434.0,187.62,37.74,4.42,3677,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW0183H,PFIZER\BIONTECH,18,1.0,0.0,27124.0,663.62,36.87,0.0,13,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
FE2590,PFIZER\BIONTECH,19,1.0,1.0,27380.0,693.94,36.52,36.52,66,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EW0158,PFIZER\BIONTECH,2349,542.0,51.0,15066925.0,155.9,35.97,3.38,2927,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW0169,PFIZER\BIONTECH,2188,495.0,69.0,14452540.0,151.39,34.25,4.77,2128,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
GJ2524,PFIZER\BIONTECH,1753,187.0,11.0,5534983.0,316.71,33.79,1.99,7736,2023-00157-A-PHS-New-data-set.xlsx,#3 Data; Part2
EW0162,PFIZER\BIONTECH,2387,550.0,45.0,16311273.0,146.34,33.72,2.76,3671,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW0153,PFIZER\BIONTECH,2419,476.0,52.0,14374517.0,168.28,33.11,3.62,5370,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
ER8730,PFIZER\BIONTECH,2646,501.0,76.0,15275856.0,173.21,32.8,4.98,3787,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
GH9694,PFIZER\BIONTECH,1947,191.0,21.0,5843837.0,333.17,32.68,3.59,8245,2023-00157-A-PHS-New-data-set.xlsx,#3 Data; Part2
EW0164,PFIZER\BIONTECH,2356,471.0,30.0,14477680.0,162.73,32.53,2.07,2935,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
ER8734,PFIZER\BIONTECH,2583,489.0,77.0,15560380.0,166.0,31.43,4.95,4304,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW1076,PFIZER\BIONTECH,13,1.0,0.0,32568.0,399.16,30.7,0.0,46,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
ER8735,PFIZER\BIONTECH,2394,430.0,59.0,14478608.0,165.35,29.7,4.07,5514,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FN2908,PFIZER\BIONTECH,614,110.0,15.0,3704279.0,165.75,29.7,4.05,6862,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2; Part2
EW0151,PFIZER\BIONTECH,2789,423.0,61.0,14507710.0,192.24,29.16,4.2,4068,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
ER8731,PFIZER\BIONTECH,2192,452.0,59.0,15539410.0,141.06,29.09,3.8,3637,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW0179,PFIZER\BIONTECH,2369,571.0,32.0,19768254.0,119.84,28.88,1.62,4178,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FC3183,PFIZER\BIONTECH,1856,386.0,43.0,13493610.0,137.55,28.61,3.19,13203,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FF2593,PFIZER\BIONTECH,1537,416.0,48.0,14620193.0,105.13,28.45,3.28,7059,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
ER8729,PFIZER\BIONTECH,2854,467.0,49.0,17019892.0,167.69,27.44,2.88,3773,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
ER8736,PFIZER\BIONTECH,2102,422.0,39.0,15393209.0,136.55,27.41,2.53,4316,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FM7553,PFIZER\BIONTECH,1000,179.0,15.0,6616646.0,151.13,27.05,2.27,12055,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FP7135,PFIZER\BIONTECH,507,103.0,19.0,3882236.0,130.59,26.53,4.89,8002,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2; Part2
FE3592,PFIZER\BIONTECH,1537,343.0,35.0,13133827.0,117.03,26.12,2.66,5332,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FF2587,PFIZER\BIONTECH,1652,327.0,27.0,12607908.0,131.03,25.94,2.14,4865,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW0186,PFIZER\BIONTECH,1793,388.0,32.0,15160993.0,118.26,25.59,2.11,4068,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FF2590,PFIZER\BIONTECH,1726,359.0,26.0,14127928.0,122.17,25.41,1.84,7576,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FC3181,PFIZER\BIONTECH,1598,337.0,23.0,13661811.0,116.97,24.67,1.68,9617,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FE3590,PFIZER\BIONTECH,1703,354.0,44.0,14407306.0,118.2,24.57,3.05,5884,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW0183,PFIZER\BIONTECH,1742,383.0,11.0,15594676.0,111.7,24.56,0.71,2695,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FC3184,PFIZER\BIONTECH,1986,334.0,45.0,13611447.0,145.91,24.54,3.31,13165,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW0171,PFIZER\BIONTECH,2240,446.0,79.0,18546111.0,120.78,24.05,4.26,4276,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW0168,PFIZER\BIONTECH,1583,337.0,32.0,14257435.0,111.03,23.64,2.24,4075,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
FF8841,PFIZER\BIONTECH,2006,308.0,40.0,13157275.0,152.46,23.41,3.04,5542,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EW0167,PFIZER\BIONTECH,2074,343.0,32.0,14751992.0,140.59,23.25,2.17,4224,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
