event,VAX_MANU,SEX,age_bucket,event_reports,total_reports,event_pct
thrombosis_any,PFIZER\BIONTECH,M,12-17,16.0,10288,0.1555
thrombosis_any,MODERNA,U,65-79,1.0,1019,0.0981
thrombosis_any,MODERNA,M,<12,2.0,2209,0.0905
thrombosis_any,MODERNA,U,Unknown,4.0,4608,0.0868
thrombosis_any,MODERNA,U,40-64,1.0,1366,0.0732
thrombosis_any,MODERNA,F,12-17,1.0,4393,0.0228
thrombosis_any,PFIZER\BIONTECH,F,<12,2.0,9436,0.0212
thrombosis_any,PFIZER\BIONTECH,M,<12,1.0,9589,0.0104
thrombosis_any,MODERNA,M,12-17,0.0,3456,0.0
thrombosis_any,JANSSEN,F,12-17,0.0,514,0.0
thrombosis_any,MODERNA,U,25-39,0.0,548,0.0
thrombosis_any,MODERNA,F,<12,0.0,2273,0.0
thrombosis_any,JANSSEN,M,12-17,0.0,584,0.0
