year,quarter,VAX_MANU,event,event_reports,total_reports,event_pct
2022,3,PFIZER\BIONTECH,pulmonary_embolism,40.0,14146,0.2828
2022,4,MODERNA,pulmonary_embolism,29.0,11549,0.2511
2022,4,PFIZER\BIONTECH,pulmonary_embolism,43.0,15348,0.2802
2023,1,MODERNA,pulmonary_embolism,26.0,7887,0.3297
2023,1,PFIZER\BIONTECH,pulmonary_embolism,52.0,11689,0.4449
2023,2,MODERNA,pulmonary_embolism,105.0,6078,1.7275
2023,2,PFIZER\BIONTECH,pulmonary_embolism,206.0,8729,2.3599
2023,3,MODERNA,pulmonary_embolism,36.0,5248,0.686
2023,3,PFIZER\BIONTECH,pulmonary_embolism,100.0,4688,2.1331
2023,4,MODERNA,pulmonary_embolism,14.0,6310,0.2219
2023,4,PFIZER\BIONTECH,pulmonary_embolism,11.0,3394,0.3241
2024,1,MODERNA,pulmonary_embolism,7.0,1570,0.4459
2024,1,PFIZER\BIONTECH,pulmonary_embolism,9.0,2189,0.4111
2024,2,MODERNA,pulmonary_embolism,9.0,1023,0.8798
2024,2,PFIZER\BIONTECH,pulmonary_embolism,6.0,1362,0.4405
2024,3,MODERNA,pulmonary_embolism,6.0,958,0.6263
2024,3,PFIZER\BIONTECH,pulmonary_embolism,2.0,1252,0.1597
2024,4,MODERNA,pulmonary_embolism,12.0,1816,0.6608
2024,4,PFIZER\BIONTECH,pulmonary_embolism,5.0,2033,0.2459
2025,1,MODERNA,pulmonary_embolism,7.0,586,1.1945
2025,1,PFIZER\BIONTECH,pulmonary_embolism,3.0,690,0.4348
2025,2,MODERNA,pulmonary_embolism,4.0,507,0.789
2025,3,PFIZER\BIONTECH,pulmonary_embolism,4.0,534,0.7491
2025,4,MODERNA,pulmonary_embolism,8.0,996,0.8032
2025,4,PFIZER\BIONTECH,pulmonary_embolism,7.0,1054,0.6641
2020,4,MODERNA,syncope,39.0,2360,1.6525
2020,4,PFIZER\BIONTECH,syncope,108.0,5334,2.0247
2021,1,JANSSEN,syncope,222.0,4616,4.8094
2021,1,MODERNA,syncope,1321.0,82646,1.5984
2021,1,PFIZER\BIONTECH,syncope,1352.0,55406,2.4402
2021,2,JANSSEN,syncope,1571.0,22295,7.0464
2021,2,MODERNA,syncope,1926.0,49194,3.9151
2021,2,PFIZER\BIONTECH,syncope,3665.0,64319,5.6982
2021,3,JANSSEN,syncope,340.0,7714,4.4076
2021,3,MODERNA,syncope,719.0,59870,1.2009
2021,3,PFIZER\BIONTECH,syncope,1697.0,47943,3.5396
2021,4,JANSSEN,syncope,257.0,6317,4.0684
2021,4,MODERNA,syncope,542.0,36323,1.4922
2021,4,PFIZER\BIONTECH,syncope,1261.0,45994,2.7417
2022,1,JANSSEN,syncope,91.0,3206,2.8384
2022,1,MODERNA,syncope,300.0,24886,1.2055
2022,1,PFIZER\BIONTECH,syncope,640.0,34040,1.8801
2022,2,JANSSEN,syncope,28.0,1395,2.0072
2022,2,MODERNA,syncope,131.0,18560,0.7058
2022,2,PFIZER\BIONTECH,syncope,206.0,18299,1.1257
2022,3,JANSSEN,syncope,20.0,725,2.7586
2022,3,MODERNA,syncope,99.0,12345,0.8019
2022,3,PFIZER\BIONTECH,syncope,198.0,14146,1.3997
2022,4,MODERNA,syncope,144.0,11549,1.2469
2022,4,PFIZER\BIONTECH,syncope,270.0,15348,1.7592
2023,1,MODERNA,syncope,53.0,7887,0.672
2023,1,PFIZER\BIONTECH,syncope,108.0,11689,0.9239
2023,2,MODERNA,syncope,29.0,6078,0.4771
2023,2,PFIZER\BIONTECH,syncope,50.0,8729,0.5728
2023,3,MODERNA,syncope,22.0,5248,0.4192
2023,3,PFIZER\BIONTECH,syncope,43.0,4688,0.9172
2023,4,MODERNA,syncope,97.0,6310,1.5372
2023,4,PFIZER\BIONTECH,syncope,88.0,3394,2.5928
2024,1,MODERNA,syncope,29.0,1570,1.8471
2024,1,PFIZER\BIONTECH,syncope,33.0,2189,1.5075
2024,2,MODERNA,syncope,73.0,1023,7.1359
2024,2,PFIZER\BIONTECH,syncope,65.0,1362,4.7724
2024,3,MODERNA,syncope,41.0,958,4.2797
2024,3,PFIZER\BIONTECH,syncope,34.0,1252,2.7157
2024,4,MODERNA,syncope,85.0,1816,4.6806
2024,4,PFIZER\BIONTECH,syncope,96.0,2033,4.7221
2025,1,MODERNA,syncope,13.0,586,2.2184
2025,1,PFIZER\BIONTECH,syncope,26.0,690,3.7681
2025,2,MODERNA,syncope,8.0,507,1.5779
2025,3,PFIZER\BIONTECH,syncope,22.0,534,4.1199
2025,4,MODERNA,syncope,53.0,996,5.3213
2025,4,PFIZER\BIONTECH,syncope,79.0,1054,7.4953
2020,4,MODERNA,thrombosis_any,1.0,2360,0.0424
2020,4,PFIZER\BIONTECH,thrombosis_any,1.0,5334,0.0187
2021,1,JANSSEN,thrombosis_any,16.0,4616,0.3466
2021,1,MODERNA,thrombosis_any,192.0,82646,0.2323
2021,1,PFIZER\BIONTECH,thrombosis_any,224.0,55406,0.4043
2021,2,JANSSEN,thrombosis_any,743.0,22295,3.3326
2021,2,MODERNA,thrombosis_any,708.0,49194,1.4392
2021,2,PFIZER\BIONTECH,thrombosis_any,865.0,64319,1.3449
2021,3,JANSSEN,thrombosis_any,193.0,7714,2.5019
2021,3,MODERNA,thrombosis_any,413.0,59870,0.6898
2021,3,PFIZER\BIONTECH,thrombosis_any,522.0,47943,1.0888
2021,4,JANSSEN,thrombosis_any,163.0,6317,2.5803
2021,4,MODERNA,thrombosis_any,352.0,36323,0.9691
2021,4,PFIZER\BIONTECH,thrombosis_any,451.0,45994,0.9806
2022,1,JANSSEN,thrombosis_any,100.0,3206,3.1192
2022,1,MODERNA,thrombosis_any,237.0,24886,0.9523
2022,1,PFIZER\BIONTECH,thrombosis_any,299.0,34040,0.8784
2022,2,JANSSEN,thrombosis_any,65.0,1395,4.6595
2022,2,MODERNA,thrombosis_any,128.0,18560,0.6897
2022,2,PFIZER\BIONTECH,thrombosis_any,168.0,18299,0.9181
2022,3,JANSSEN,thrombosis_any,23.0,725,3.1724
2022,3,MODERNA,thrombosis_any,68.0,12345,0.5508
2022,3,PFIZER\BIONTECH,thrombosis_any,99.0,14146,0.6998
2022,4,MODERNA,thrombosis_any,59.0,11549,0.5109
2022,4,PFIZER\BIONTECH,thrombosis_any,109.0,15348,0.7102
2023,1,MODERNA,thrombosis_any,63.0,7887,0.7988
2023,1,PFIZER\BIONTECH,thrombosis_any,109.0,11689,0.9325
2023,2,MODERNA,thrombosis_any,129.0,6078,2.1224
2023,2,PFIZER\BIONTECH,thrombosis_any,212.0,8729,2.4287
2023,3,MODERNA,thrombosis_any,35.0,5248,0.6669
2023,3,PFIZER\BIONTECH,thrombosis_any,111.0,4688,2.3677
2023,4,MODERNA,thrombosis_any,27.0,6310,0.4279
2023,4,PFIZER\BIONTECH,thrombosis_any,26.0,3394,0.7661
2024,1,MODERNA,thrombosis_any,13.0,1570,0.828
2024,1,PFIZER\BIONTECH,thrombosis_any,25.0,2189,1.1421
2024,2,MODERNA,thrombosis_any,12.0,1023,1.173
2024,2,PFIZER\BIONTECH,thrombosis_any,14.0,1362,1.0279
2024,3,MODERNA,thrombosis_any,11.0,958,1.1482
2024,3,PFIZER\BIONTECH,thrombosis_any,8.0,1252,0.639
2024,4,MODERNA,thrombosis_any,12.0,1816,0.6608
2024,4,PFIZER\BIONTECH,thrombosis_any,24.0,2033,1.1805
2025,1,MODERNA,thrombosis_any,9.0,586,1.5358
2025,1,PFIZER\BIONTECH,thrombosis_any,12.0,690,1.7391
2025,2,MODERNA,thrombosis_any,4.0,507,0.789
2025,3,PFIZER\BIONTECH,thrombosis_any,8.0,534,1.4981
2025,4,MODERNA,thrombosis_any,7.0,996,0.7028
2025,4,PFIZER\BIONTECH,thrombosis_any,9.0,1054,0.8539
