lot_number,VAX_MANU,total_doses_shipped,reports,serious_reports,deaths,reports_per_million,serious_per_million,deaths_per_million,expected_serious,serious_oe_ratio,expected_deaths,death_oe_ratio,serious_oe_ci_low,serious_oe_ci_high
EN6207,PFIZER\BIONTECH,17895081.0,3518,1054.0,171.0,196.59,58.9,9.56,522.08,2.019,77.76,2.199,1.897,2.141
EL9263,PFIZER\BIONTECH,3498292.0,911,206.0,34.0,260.41,58.89,9.72,102.06,2.018,15.2,2.237,1.743,2.294
EL3246,PFIZER\BIONTECH,5747557.0,2549,335.0,66.0,443.49,58.29,11.48,167.68,1.998,24.97,2.643,1.784,2.212
EL9262,PFIZER\BIONTECH,7561130.0,2464,433.0,64.0,325.88,57.27,8.46,220.59,1.963,32.85,1.948,1.778,2.148
EN6203,PFIZER\BIONTECH,12633552.0,2858,702.0,126.0,226.22,55.57,9.97,368.58,1.905,54.89,2.295,1.764,2.046
GJ5342,PFIZER\BIONTECH,4821267.0,1204,260.0,20.0,249.73,53.93,4.15,140.66,1.848,20.95,0.955,1.624,2.073
330308D,PFIZER\BIONTECH,1668946.0,442,90.0,7.0,264.84,53.93,4.19,48.69,1.848,7.25,0.965,1.467,2.23
EN6204,PFIZER\BIONTECH,13490054.0,2863,722.0,133.0,212.23,53.52,9.86,393.57,1.835,58.62,2.269,1.701,1.968
EN6199,PFIZER\BIONTECH,14397579.0,2862,765.0,138.0,198.78,53.13,9.58,420.04,1.821,62.56,2.206,1.692,1.95
EM9809,PFIZER\BIONTECH,6719977.0,1530,350.0,55.0,227.68,52.08,8.18,196.05,1.785,29.2,1.884,1.598,1.972
GJ6665,PFIZER\BIONTECH,2861873.0,1533,146.0,17.0,535.66,51.02,5.94,83.49,1.749,12.44,1.367,1.465,2.032
EN6205,PFIZER\BIONTECH,18010207.0,3567,914.0,154.0,198.05,50.75,8.55,525.44,1.739,78.26,1.968,1.627,1.852
FD0810,PFIZER\BIONTECH,2293529.0,910,116.0,8.0,396.77,50.58,3.49,66.91,1.734,9.97,0.803,1.418,2.049
330368D,PFIZER\BIONTECH,644810.0,304,32.0,2.0,471.46,49.63,3.1,18.81,1.701,2.8,0.714,1.112,2.291
ER8732,PFIZER\BIONTECH,17640635.0,3501,843.0,100.0,198.46,47.79,5.67,514.66,1.638,76.65,1.305,1.527,1.749
331308A,PFIZER\BIONTECH,1595443.0,349,73.0,7.0,218.75,45.76,4.39,46.55,1.568,6.93,1.01,1.208,1.928
EN6208,PFIZER\BIONTECH,17579466.0,3364,802.0,132.0,191.36,45.62,7.51,512.87,1.564,76.39,1.728,1.456,1.672
EN6206,PFIZER\BIONTECH,16035725.0,2955,728.0,84.0,184.28,45.4,5.24,467.84,1.556,69.68,1.206,1.443,1.669
EW0150,PFIZER\BIONTECH,19220566.0,3184,857.0,73.0,165.66,44.59,3.8,560.75,1.528,83.52,0.874,1.426,1.631
ER8727,PFIZER\BIONTECH,16033160.0,3019,690.0,122.0,188.3,43.04,7.61,467.76,1.475,69.67,1.751,1.365,1.585
EW0172,PFIZER\BIONTECH,16828400.0,2722,684.0,53.0,161.75,40.65,3.15,490.96,1.393,73.12,0.725,1.289,1.498
EP6955,PFIZER\BIONTECH,16200050.0,3222,658.0,103.0,198.89,40.62,6.36,472.63,1.392,70.39,1.463,1.286,1.499
EP7534,PFIZER\BIONTECH,15838558.0,2754,638.0,91.0,173.88,40.28,5.75,462.08,1.381,68.82,1.322,1.274,1.488
GH9697,PFIZER\BIONTECH,2073667.0,400,82.0,3.0,192.9,39.54,1.45,60.5,1.355,9.01,0.333,1.062,1.649
ER8737,PFIZER\BIONTECH,15641419.0,2678,609.0,124.0,171.21,38.94,7.93,456.33,1.335,67.96,1.824,1.229,1.441
GH9703,PFIZER\BIONTECH,4843107.0,1081,186.0,20.0,223.2,38.41,4.13,141.3,1.316,21.04,0.95,1.127,1.506
EP7533,PFIZER\BIONTECH,14572152.0,2555,558.0,84.0,175.33,38.29,5.76,425.14,1.313,63.32,1.327,1.204,1.421
ER8733,PFIZER\BIONTECH,17887434.0,3356,675.0,79.0,187.62,37.74,4.42,521.86,1.293,77.72,1.016,1.196,1.391
EW0158,PFIZER\BIONTECH,15066925.0,2349,542.0,51.0,155.9,35.97,3.38,439.57,1.233,65.47,0.779,1.129,1.337
EW0169,PFIZER\BIONTECH,14452540.0,2188,495.0,69.0,151.39,34.25,4.77,421.65,1.174,62.8,1.099,1.071,1.277
GJ2524,PFIZER\BIONTECH,5534983.0,1753,187.0,11.0,316.71,33.79,1.99,161.48,1.158,24.05,0.457,0.992,1.324
EW0162,PFIZER\BIONTECH,16311273.0,2387,550.0,45.0,146.34,33.72,2.76,475.88,1.156,70.87,0.635,1.059,1.252
EW0153,PFIZER\BIONTECH,14374517.0,2419,476.0,52.0,168.28,33.11,3.62,419.37,1.135,62.46,0.833,1.033,1.237
ER8730,PFIZER\BIONTECH,15275856.0,2646,501.0,76.0,173.21,32.8,4.98,445.67,1.124,66.38,1.145,1.026,1.223
GH9694,PFIZER\BIONTECH,5843837.0,1947,191.0,21.0,333.17,32.68,3.59,170.49,1.12,25.39,0.827,0.961,1.279
EW0164,PFIZER\BIONTECH,14477680.0,2356,471.0,30.0,162.73,32.53,2.07,422.38,1.115,62.91,0.477,1.014,1.216
ER8734,PFIZER\BIONTECH,15560380.0,2583,489.0,77.0,166.0,31.43,4.95,453.97,1.077,67.61,1.139,0.982,1.173
FN2908,PFIZER\BIONTECH,3704279.0,614,110.0,15.0,165.75,29.7,4.05,108.07,1.018,16.1,0.932,0.828,1.208
ER8735,PFIZER\BIONTECH,14478608.0,2394,430.0,59.0,165.35,29.7,4.07,422.41,1.018,62.91,0.938,0.922,1.114
EW0151,PFIZER\BIONTECH,14507710.0,2789,423.0,61.0,192.24,29.16,4.2,423.26,0.999,63.04,0.968,0.904,1.095
ER8731,PFIZER\BIONTECH,15539410.0,2192,452.0,59.0,141.06,29.09,3.8,453.36,0.997,67.52,0.874,0.905,1.089
EW0179,PFIZER\BIONTECH,19768254.0,2369,571.0,32.0,119.84,28.88,1.62,576.73,0.99,85.9,0.373,0.909,1.071
FC3183,PFIZER\BIONTECH,13493610.0,1856,386.0,43.0,137.55,28.61,3.19,393.67,0.981,58.63,0.733,0.883,1.078
FF2593,PFIZER\BIONTECH,14620193.0,1537,416.0,48.0,105.13,28.45,3.28,426.54,0.975,63.53,0.756,0.882,1.069
ER8736,PFIZER\BIONTECH,15393209.0,2102,422.0,39.0,136.55,27.41,2.53,449.09,0.94,66.89,0.583,0.85,1.029
ER8729,PFIZER\BIONTECH,17019892.0,2854,467.0,49.0,167.69,27.44,2.88,496.55,0.94,73.95,0.663,0.855,1.026
FM7553,PFIZER\BIONTECH,6616646.0,1000,179.0,15.0,151.13,27.05,2.27,193.04,0.927,28.75,0.522,0.791,1.063
FP7135,PFIZER\BIONTECH,3882236.0,507,103.0,19.0,130.59,26.53,4.89,113.26,0.909,16.87,1.126,0.734,1.085
FE3592,PFIZER\BIONTECH,13133827.0,1537,343.0,35.0,117.03,26.12,2.66,383.17,0.895,57.07,0.613,0.8,0.99
FF2587,PFIZER\BIONTECH,12607908.0,1652,327.0,27.0,131.03,25.94,2.14,367.83,0.889,54.78,0.493,0.793,0.985
